Scientific,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,degree,betweenness,closeness,katzz,PC1,PC2,Nwebs,PC1_nobet,PC2_nobet,ED,DR
Alcippe brunneicauda,Leiotrichidae,13.9,8.9,3.6,4.2,21,71.7,10.8,14.8,61.6,14.3,Forest,Carnivore,Invertivore,Insessorial,9.7,NA,2.331821002,-2.447387587,NT,89,1.09E+12,115.3085562,1.808746249,Oriental,7,0.000716918,0.000888188,22.2574318,0.044815814,0.683254173,1,0.089589984,0.86244365,8.001262326,0.140784944
Alcippe morrisonia,Leiotrichidae,12.3,6.7,3,3.8,19.2,60.9,8.2,13.2,52.4,15.3,Forest,Omnivore,Invertivore,Insessorial,NA,NA,2.528515265,-0.6696637,LC,342,3.80E+12,107.7759785,25.79381231,Sino-Japanese,33,0.008622101,0.000824753,15.22781975,1.888911471,-1.671357772,1,0.500231461,0.125274039,7.862303008,0.138200616
Alcippe poioicephala,Leiotrichidae,14.7,8.2,3.6,4.2,21.2,69.5,7.5,10.9,65.5,20.7,Forest,Carnivore,Invertivore,Insessorial,NA,NA,6.443038328,-1.416038312,LC,246,2.85E+12,98.73708994,20.46480422,Oriental,2,1.80E-07,0.000683252,2.066889133,-1.046545557,-0.434877994,1,-1.039092475,-0.376531431,16.04565991,0.064364544
Alectroenas madagascariensis,Columbidae,17.5,9.2,4.1,4.2,22.3,171,57.5,33.6,81.5,173,Forest,Herbivore,Frugivore,Insessorial,NA,7.4,1.109011807,-1.452263087,LC,54,6.28E+11,47.49929068,-19.08844017,Madagascan,5,0.000553764,0.000739852,1.9332619,-0.658543065,-0.216619438,1,-0.704775402,-0.036592433,6.672315635,0.165492414
Alethe poliocephala,Muscicapidae,19.2,11,4.6,5.2,27,86.5,14.8,16.5,56.8,32.4,Forest,Carnivore,Invertivore,Terrestrial,14.6,NA,1.395365047,-1.477419186,LC,228,2.80E+12,11.42049351,2.612398753,Afrotropical,2,0.000449952,0.000672165,1.362786469,-1.007629995,-0.607241172,1,-1.091147797,-0.448327345,12.09265553,0.085872937
Alophoixus bres,Pycnonotidae,20.6,14.9,4.7,6.5,19.6,100,20.3,19.4,90,35.3,Forest,Omnivore,Omnivore,Insessorial,11.2,NA,2.571297303,-2.276160212,EN,173,2.12E+12,114.8184928,1.706879475,Oriental,9,0.000469559,0.000869672,23.1416278,-0.01682471,0.607717336,1,0.066080368,0.709932825,10.11242998,0.109137399
Alophoixus finschii,Pycnonotidae,17.5,11.6,4.7,5.6,15.9,84.8,16.2,19,67.2,24.2,Forest,Omnivore,Omnivore,Insessorial,NA,NA,1.797004682,-2.409506367,NA,138,1.70E+12,114.5155946,0.822603655,Oriental,6,0.000325308,0.000864872,21.68049958,-0.141349757,0.628704784,1,-0.044063504,0.721422685,9.042769414,0.135559649
Alophoixus flaveolus,Pycnonotidae,20.5,11.8,5.4,7.1,20.1,100.8,16.6,16.5,90.1,48.3,Forest,Herbivore,Frugivore,Insessorial,NA,NA,8.453397626,-1.290067662,LC,94,1.06E+12,95.35035751,23.41308262,Oriental,33,0.001710052,0.000902156,32.74751651,0.966095112,0.382418699,4,0.912778918,0.585260794,9.184147956,0.139731492
Alophoixus pallidus,Pycnonotidae,20.3,12.1,4.6,7.4,20.5,102.6,15.6,15.2,104.2,46,Forest,Herbivore,Frugivore,Insessorial,NA,NA,2.095330898,-1.120370306,LC,179,2.07E+12,103.788169,19.73736998,Oriental,34,0.002351193,0.000909562,32.98309344,1.13754536,0.278879259,7,0.974338132,0.621061097,7.774024949,0.141577888
Alophoixus phaeocephalus,Pycnonotidae,20.5,13.6,5.4,6.5,19.9,94.4,13.2,13.8,80.6,32,Forest,Omnivore,Omnivore,Insessorial,10.9,NA,2.256420544,-2.389843292,LC,195,2.40E+12,107.2777757,1.127934934,Oriental,12,0.000744852,0.000877444,24.52933597,0.142663228,0.576206076,1,0.189155448,0.718545229,13.17920609,0.087032861
