Scientific,PC1,PC2,PC3,deg.degree_z,bet.betweenness_z,clos.closeness_z,katzz.Katz_z,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,Nwebs,ED,DR,database,lat,lon
Chlorospingus ophthalmicus,1.89843934,0.395562166,-0.467036485,1.545100948,2.379283796,1.008243617,0.758137389,Thraupidae,14.7,8.2,4.8,5.5,21.4,67.3,10.3,15.6,63.8,20,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.92448528,-1.290757032,LC,165,1.97E+12,-71.91370045,-5.910808311,Neotropical,21,6.196865413,0.176287858,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Cranioleuca erythrops,-0.440100781,-0.712852057,-0.046051389,-0.742339003,-0.679442811,0.266064288,-0.286548569,Furnariidae,14.6,9.5,3.2,3.7,18.6,64.8,11,16.6,71.4,16.9,Forest,Carnivore,Invertivore,Insessorial,14.4,NA,7.503523806,-1.931706569,LC,32,3.91E+11,-77.79748222,1.646779174,Neotropical,1,1.318203526,0.831791582,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Dendroica fusca,1.122479367,-0.62722906,0.023892831,0.172636977,0.217291714,1.061256426,0.705604962,Parulidae,12.3,8,3.5,3.5,17.6,65.7,21.9,32.4,47.2,9.7,Forest,Carnivore,Invertivore,Insessorial,11.3,NA,3.985075278,-0.376045568,LC,1161,1.18E+13,-84.6796121,34.69452864,Nearctic,5,4.152243388,0.254592509,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Diglossa caerulescens,-1.84558654,0.408750512,-0.012711173,-0.742339003,-0.679442811,-1.324319989,-1.126293747,Thraupidae,17.1,9.8,2.7,4.1,19.9,68.1,11.9,17.4,54.2,14.4,Forest,Carnivore,Invertivore,Insessorial,NA,NA,3.162988047,-1.229616829,LC,86,1.04E+12,-74.8139641,-8.355583148,Neotropical,3,6.010191324,0.173473432,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Diglossa cyanea,-0.546587544,0.004423185,-0.050328681,-0.284851013,-0.527326338,-0.290570209,-0.3684282,Thraupidae,18,11.4,3.3,5.1,22.5,73.6,13.8,18.6,63,17,Forest,Omnivore,Frugivore,Insessorial,NA,NA,3.255859371,-1.278071527,LC,93,1.13E+12,-73.89300066,-3.201179729,Neotropical,12,6.010191324,0.173473432,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Eubucco bourcierii,0.179180507,-0.503448549,0.058941011,-0.284851013,-0.557582951,0.425102716,0.16488699,Capitonidae,20.6,14.8,5.8,8.6,20.9,72,10.6,14.8,52.4,37,Forest,Herbivore,Frugivore,Insessorial,NA,13.5,7.097632797,-1.830582104,LC,61,7.47E+11,-77.1028119,1.297115803,Neotropical,6,10.21055988,0.110123395,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Euphonia xanthogaster,-0.807244958,0.655295096,-0.386985542,0.172636977,1.656729986,-0.741179088,-0.80725704,Fringillidae,10.7,6,4.8,4.8,16.4,61.4,13.7,22.4,36,13,Forest,Herbivore,Frugivore,Insessorial,9.7,6.3,3.862020232,-1.812834049,LC,417,5.07E+12,-69.30287595,-3.115070323,Neotropical,12,5.027198845,0.265355197,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Masius chrysopterus,-0.440100781,-0.712852057,-0.046051389,-0.742339003,-0.679442811,0.266064288,-0.286548569,Pipridae,10.3,5.2,3.8,3.6,17,59,8,12.8,42.1,11.5,Forest,Omnivore,Frugivore,Insessorial,NA,7.2,7.209285311,-1.702421819,LC,53,6.50E+11,-76.19045795,1.853713792,Neotropical,2,6.854761312,0.152975031,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Mecocerculus poecilocercus,-1.489886405,0.128203697,-0.015280501,-0.742339003,-0.679442811,-0.92672392,-0.909146172,Tyrannidae,9.1,5.2,2.4,2.5,15.2,57.6,8.6,15.6,43.7,7.7,Forest,Carnivore,Invertivore,Insessorial,NA,NA,3.14549652,-1.277733647,LC,50,6.11E+11,-76.89508197,-5.259434528,Neotropical,1,7.458030827,0.165278117,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Mionectes striaticollis,2.016060327,0.391590289,-0.310367965,1.545100948,2.738442306,1.008243617,0.95408508,Tyrannidae,14.2,8,4.2,3.4,17.5,66.8,11.1,16.5,53.7,15,Forest,Omnivore,Invertivore,Insessorial,NA,6.2,5.10786512,-1.375014263,LC,74,8.99E+11,-74.41549163,-6.16623013,Neotropical,11,8.7973928,0.117897952,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Momotus aequatorialis,-1.214326836,-0.042222746,0.065946307,-0.742339003,-0.679442811,-0.688166278,-0.675337929,Momotidae,45,33.2,11.2,14.1,28.4,154.8,26.8,17.4,281.5,158,Forest,Carnivore,Invertivore,Insessorial,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,2,8.678581266,0.132529799,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Myadestes ralloides,-0.637816253,0.114917987,0.018698299,-0.284851013,-0.573865447,-0.449608637,-0.370239539,Turdidae,14.8,6.8,4.6,3.7,20.5,84.1,19.6,23.3,78.2,29.1,Forest,Omnivore,Invertivore,Insessorial,NA,8.1,3.833956891,-1.374915782,LC,109,1.32E+12,-73.27154585,-3.284990999,Neotropical,13,5.547043728,0.189367481,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Pachyramphus polychopterus,-1.84558654,0.408750512,-0.012711173,-0.742339003,-0.679442811,-1.324319989,-1.126293747,Tityridae,14.9,10.4,7,5.7,18.7,72,16.4,21.8,55.7,20.8,Forest,Omnivore,Invertivore,Insessorial,11.2,10.9,2.375443657,-1.4753471,LC,1312,1.56E+13,-58.88089203,-9.800374312,Neotropical,7,6.818755509,0.155773999,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Pachyramphus versicolor,-1.666846123,0.277398218,0.003068554,-0.742339003,-0.679442811,-1.138775157,-1.003722636,Tityridae,12.6,7.4,5.2,4.4,16.2,64.6,13.5,20.6,51.7,15.5,Forest,Carnivore,Invertivore,Insessorial,12.7,NA,3.446970586,-1.450180214,LC,80,9.74E+11,-75.53489924,-1.796703194,Neotropical,1,9.546409692,0.110188168,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Patagioenas cayennensis,-0.440100781,-0.712852057,-0.046051389,-0.742339003,-0.679442811,0.266064288,-0.286548569,Columbidae,24.5,12.1,4.6,5.5,23.4,180.3,62.8,35.1,112.7,229,Forest,Herbivore,Frugivore,Insessorial,NA,9.5,2.317356468,-1.54137075,LC,1273,1.53E+13,-59.69943614,-7.544551464,Neotropical,4,4.232269452,0.283442495,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Patagioenas subvinacea,-1.489886405,0.128203697,-0.015280501,-0.742339003,-0.679442811,-0.92672392,-0.909146172,Columbidae,18.8,9.8,3.8,4.1,20.8,156.3,53.6,34.3,114.4,162.5,Forest,Herbivore,Frugivore,Insessorial,NA,7.3,2.531237612,-1.868822913,VU,687,8.39E+12,-64.70602477,-2.377043055,Neotropical,3,6.70631473,0.165476146,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Penelope montagnii,-1.489886405,0.128203697,-0.015280501,-0.742339003,-0.679442811,-0.92672392,-0.909146172,Cracidae,34.8,14.6,9.1,10.1,58.7,241.5,30.9,12.2,250.8,706,Forest,Herbivore,Frugivore,Insessorial,NA,17.6,1.906088187,-1.30879154,LC,82,9.94E+11,-74.51071172,4.695057107,Panamanian,12,2.55984398,0.462295083,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Penelope perspicax,3.415468619,0.98398938,0.431429016,2.460076929,0.709148647,1.061256426,2.375194368,Cracidae,40.5,15.5,18.8,10.7,86.2,325,43,12.2,333.5,1197,Forest,Herbivore,Frugivore,Insessorial,NA,17.8,7.766136635,-1.994704461,EN,8,98307292490,-76.49951377,3.190055304,Neotropical,1,2.271960365,0.552060756,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Pharomachrus auriceps,-1.912412665,0.518421277,0.088819502,-0.742339003,-0.679442811,-1.483358417,-1.087452223,Trogonidae,26.3,13.4,11.5,10.7,18.5,202.1,73.7,36.6,193.4,180,Forest,Herbivore,Frugivore,Insessorial,NA,19.2,4.252449877,-1.430043591,LC,106,1.29E+12,-74.15556971,-3.294101073,Neotropical,4,9.809615054,0.103152065,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Pheucticus ludovicianus,-0.440100781,-0.712852057,-0.046051389,-0.742339003,-0.679442811,0.266064288,-0.286548569,Cardinalidae,18.6,11.8,8.8,11.8,21.6,101.3,27.4,26.5,74.6,42,Forest,Herbivore,Omnivore,Insessorial,15.3,NA,1.835241103,-0.139360531,LC,1260,1.23E+13,-94.10279655,40.01534629,Nearctic,10,5.606117786,0.202044288,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Phyllomyias nigrocapillus,-1.216932166,-0.095841844,-0.032794722,-0.742339003,-0.679442811,-0.608647065,-0.754762615,Tyrannidae,8.5,4.1,2.7,2.8,15.7,60.1,10.7,18,47.5,9.5,Forest,Omnivore,Invertivore,Insessorial,NA,NA,2.514615987,-1.300580132,LC,64,7.81E+11,-76.75876861,-4.273210597,Neotropical,1,12.51913686,0.112525604,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Phyllomyias plumbeiceps,-1.214326836,-0.042222746,0.065946307,-0.742339003,-0.679442811,-0.688166278,-0.675337929,Tyrannidae,8.9,5.2,3.3,2.9,15.7,59.8,11.8,20,55.2,10.3,Forest,Omnivore,Invertivore,Insessorial,NA,6.1,3.870543185,-1.414824912,LC,30,3.66E+11,-75.59851983,3.791225637,Neotropical,1,7.92142393,0.14715592,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Phylloscartes ophthalmicus,-2.703579975,1.350743893,0.464064189,-0.742339003,-0.679442811,-2.676146625,-1.279211227,Tyrannidae,10.7,6.2,3.7,3.3,15.3,59.6,9.7,16.5,56.6,9.2,Forest,Carnivore,Invertivore,Insessorial,NA,NA,6.291694479,-1.488434809,NA,62,7.54E+11,-77.12461409,-1.921704506,Neotropical,1,6.303711335,0.208113137,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Pipraeidea melanonota,-1.748979714,0.387585892,0.084210026,-0.742339003,-0.679442811,-1.297813585,-0.990382198,Thraupidae,12.6,7.4,4.8,5,17.9,80.1,21.4,26.5,57.8,21,Forest,Herbivore,Omnivore,Insessorial,NA,7.1,2.364551902,-1.107353145,LC,323,3.74E+12,-49.82097757,-23.30685254,Neotropical,23,9.417194274,0.110003619,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Piranga flava,-0.440100781,-0.712852057,-0.046051389,-0.742339003,-0.679442811,0.266064288,-0.286548569,Cardinalidae,19.2,14.8,8.5,9.5,21,93.6,22.8,24.2,74.5,37.7,Forest,Carnivore,Invertivore,Insessorial,16,NA,1.646447948,-0.995704993,LC,943,1.09E+13,-56.13525163,-19.78220502,Neotropical,10,7.217062595,0.145908781,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Piranga leucoptera,-0.440100781,-0.712852057,-0.046051389,-0.742339003,-0.679442811,0.266064288,-0.286548569,Cardinalidae,15.8,10.6,6.7,7.3,18.3,72.5,14.8,20.3,58.8,16,Forest,Herbivore,Frugivore,Insessorial,13.1,NA,2.861736154,-1.411944643,LC,167,2.01E+12,-73.55272985,-3.681193535,Neotropical,1,9.455843179,0.109501013,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Piranga rubra,-0.440100781,-0.712852057,-0.046051389,-0.742339003,-0.679442811,0.266064288,-0.286548569,Cardinalidae,19.2,13.3,8.4,9,19.5,92,27.9,29.2,71.3,29.1,Forest,Carnivore,Invertivore,Insessorial,13.7,NA,4.540436747,-1.00616915,LC,1028,1.16E+13,-86.05742747,20.53732307,Panamanian,17,9.505554722,0.111221326,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Pyroderus scutatus,2.968620026,0.927469327,-0.290791013,2.460076929,1.547665588,1.167282045,1.530665789,Cotingidae,42.5,26.3,13.8,15.5,38,231,41,18.2,152.2,357,Forest,Omnivore,Frugivore,Insessorial,NA,25.3,1.582532986,-1.226767441,LC,268,3.12E+12,-48.81193433,-22.09897513,Neotropical,10,8.009999274,0.139336199,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Rupicola peruvianus,1.523751243,-0.141928338,0.314855517,0.630124968,-0.277610534,0.822698785,1.169275303,Cotingidae,31,15.4,8.8,12.4,36.7,183.5,21.7,11.6,120.3,242.5,Forest,Herbivore,Frugivore,Insessorial,NA,NA,5.285007575,-1.503374752,LC,76,9.25E+11,-74.53890647,-3.619096119,Neotropical,10,9.821196965,0.108256525,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Tangara arthus,1.392950465,-0.083804324,0.2359026,0.630124968,-0.107059741,0.743179571,1.026455478,Thraupidae,12.5,7.3,4.6,5,18.3,80,17.4,23,59,22,Forest,Herbivore,Frugivore,Insessorial,NA,6.4,3.982542572,-1.432859791,LC,108,1.31E+12,-74.01663778,-2.13090246,Neotropical,10,3.940360096,0.269585381,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Tangara heinei,2.299776569,-0.152646132,0.247544313,1.087612958,1.157541324,1.299814068,1.581496993,Thraupidae,10.7,6.6,4.5,4.6,17.6,74,18.6,25.1,48.3,20.2,Human Modified,Herbivore,Frugivore,Insessorial,13.3,7.5,5.619905636,-1.627378022,LC,43,5.26E+11,-76.1788297,2.974381123,Neotropical,4,1.619638873,0.641878153,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Tangara labradorides,2.37446988,-0.208875484,0.251763342,1.087612958,1.047783722,1.379333282,1.63084601,Thraupidae,11.6,7,4.6,5.1,16.6,65,13.5,21.5,47.8,15,Forest,Omnivore,Frugivore,Insessorial,NA,NA,6.815751717,-1.646165455,LC,31,3.80E+11,-75.93341616,3.607297981,Neotropical,5,7.005035148,0.164122474,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Tangara nigroviridis,0.538474688,0.30309716,-0.267101404,0.630124968,0.457899102,0.213051479,0.103525988,Thraupidae,12,6.1,4.3,4.4,16.3,69.5,16.9,24.6,49.4,17,Forest,Herbivore,Frugivore,Insessorial,NA,NA,4.204963608,-1.361114169,LC,97,1.18E+12,-73.73682158,-3.353207346,Neotropical,14,4.940006365,0.212713845,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Tangara vassorii,-1.83897796,0.408527351,-0.003908692,-0.742339003,-0.679442811,-1.324319989,-1.11528435,Thraupidae,12.1,5.9,4.8,4.6,17.1,74.3,17.2,22.8,53.2,18,Forest,Herbivore,Frugivore,Insessorial,NA,7.1,3.8699279,-1.20166946,LC,81,9.83E+11,-74.0269349,-4.63128129,Neotropical,16,6.32182987,0.169186759,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Tangara xanthocephala,1.489760837,-0.373511194,-0.143259022,0.630124968,0.819524478,1.167282045,0.787284105,Thraupidae,14.5,7.4,3.9,4.8,17.5,74.1,17.8,23.9,49.7,19,Forest,Herbivore,Frugivore,Insessorial,NA,6.3,4.887159435,-1.361438537,LC,92,1.12E+12,-73.83460588,-4.569186586,Neotropical,14,4.967754439,0.218875928,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Thraupis cyanocephala,-1.216932166,-0.095841844,-0.032794722,-0.742339003,-0.679442811,-0.608647065,-0.754762615,Thraupidae,17,9.1,6,6.7,24,85.8,14.8,17.4,80.6,36,Forest,Herbivore,Frugivore,Insessorial,NA,9.1,3.251458622,-1.26999695,NA,100,1.21E+12,-74.38913162,-3.987845134,Neotropical,18,7.06140121,0.150964357,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Trogon collaris,0.594701319,-0.412480876,-0.329769481,0.172636977,1.008710757,0.769685976,0.101676031,Trogonidae,20.3,11.2,8.2,9.1,13.4,121.2,46.3,38.4,132.7,65.4,Forest,Omnivore,Invertivore,Insessorial,NA,NA,2.618941604,-1.804362009,LC,722,8.76E+12,-68.93661581,-0.165714666,Neotropical,3,5.738383297,0.183881192,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Trogon personatus,-1.84558654,0.408750512,-0.012711173,-0.742339003,-0.679442811,-1.324319989,-1.126293747,Trogonidae,18.9,11.7,8.5,8.9,14.3,125.7,46.9,37.5,157.8,63.4,Forest,Omnivore,Omnivore,Insessorial,NA,13,4.413267783,-1.458861403,LC,141,1.71E+12,-73.61178378,-3.983070065,Neotropical,4,10.72453878,0.097904202,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Turdus ignobilis,-1.387759521,0.124755031,0.12075022,-0.742339003,-0.679442811,-0.92672392,-0.739010488,Turdidae,21.2,12.5,6.1,6.6,34.6,110.4,22,19.4,88.2,63.8,Forest,Omnivore,Omnivore,Insessorial,NA,NA,2.001318711,-1.887407666,LC,362,4.42E+12,-68.42210394,-5.192578453,Neotropical,6,2.277157036,0.458100758,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Turdus serranus,3.517915473,0.195241126,0.303297523,2.002588939,2.582366259,1.723916542,2.350231278,Turdidae,26.9,14.6,6,6.7,34.4,124.7,23.1,18.4,112.3,84.9,Forest,Omnivore,Invertivore,Generalist,NA,10.9,3.215147557,-1.204954593,LC,109,1.32E+12,-72.72442757,-5.523296071,Neotropical,8,2.764143714,0.379751542,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Vireo leucophrys,0.144967967,-0.66341447,-0.272441689,-0.284851013,0.554884738,0.663660357,-0.117361729,Vireonidae,14,7.8,3.8,3.9,17.6,64.9,12.3,18.9,49.7,12.3,Forest,Carnivore,Invertivore,Insessorial,NA,NA,2.991382712,-1.346094396,LC,153,1.84E+12,-73.83376125,-2.718984538,Neotropical,2,4.583690122,0.263821344,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Wilsonia canadensis,-1.216932166,-0.095841844,-0.032794722,-0.742339003,-0.679442811,-0.608647065,-0.754762615,Parulidae,13,7.2,4,3.6,19.2,62.5,16.5,25.9,52.7,10,Forest,Carnivore,Invertivore,Insessorial,11,NA,2.008748832,-0.114476453,LC,1161,1.12E+13,-86.73390038,39.06789161,Nearctic,5,5.995393635,0.17420681,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM,4.733333,-75.416667
Coereba flaveola,-1.180851377,0.214794635,-0.120803253,0.875990566,0.316609282,0.526572299,0.640704517,Thraupidae,13.2,9.9,3.6,3.9,16.9,54.6,11,19.2,34.1,10,Shrubland,Herbivore,Nectarivore,Insessorial,10.9,NA,2.189833863,-1.559871102,LC,1287,1.54E+13,-59.76684784,-6.698633413,Neotropical,32,9.206193414,0.114201518,n10_Athie_RC,-22.480979,-47.592293
Conirostrum speciosum,1.619541844,0.068307464,0.026339638,-0.906727077,-0.644719353,-0.970545022,-0.929604131,Thraupidae,11.5,8.4,2.8,3.6,14.3,55.8,12.5,22.1,40.2,8.8,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.366775656,-1.389646044,LC,771,9.18E+12,-54.94183348,-13.80707275,Neotropical,10,4.726368029,0.251209675,n10_Athie_RC,-22.480979,-47.592293
Cyclarhis gujanensis,0.856667898,-0.088654031,-0.153362949,-0.461047666,-0.625364424,-0.371698094,-0.643844077,Vireonidae,18,11.1,5.8,9.2,22.8,76.2,11.2,14.8,64.1,28.8,Forest,Carnivore,Invertivore,Insessorial,14.4,NA,1.947768185,-1.385563877,LC,1333,1.58E+13,-58.30696492,-11.07003293,Neotropical,16,12.7789485,0.082569656,n10_Athie_RC,-22.480979,-47.592293
Dacnis cayana,-1.398483223,0.274341827,0.16812699,0.875990566,-0.192425346,0.526572299,1.007297171,Thraupidae,13.7,8,3.7,4.2,15.5,61.8,15.5,24.7,43.9,13,Forest,Herbivore,Frugivore,Insessorial,10.7,NA,2.19903769,-1.609224549,LC,1142,1.38E+13,-58.64284806,-6.949375726,Neotropical,35,4.441278827,0.29182214,n10_Athie_RC,-22.480979,-47.592293
Elaenia flavogaster,-1.375695436,-0.490249713,0.123663769,0.430311155,0.631449458,1.125419228,0.834529396,Tyrannidae,12.7,7.2,5,4,21.4,77.4,12.7,16.4,70.6,24.8,Woodland,Omnivore,Invertivore,Insessorial,12.5,10.3,1.703306126,-1.475584155,LC,1059,1.27E+13,-60.58657807,-6.171795436,Neotropical,31,7.569548113,0.138750993,n10_Athie_RC,-22.480979,-47.592293
Elaenia spectabilis,1.619541844,0.068307464,0.026339638,-0.906727077,-0.644719353,-0.970545022,-0.929604131,Tyrannidae,14.9,8,4.6,4.1,19.2,81.7,15.7,18.9,72.3,27.3,Shrubland,Omnivore,Invertivore,Insessorial,NA,9.1,1.931604547,-1.459038734,LC,794,9.50E+12,-57.63965021,-11.70160554,Neotropical,4,4.925667721,0.211472868,n10_Athie_RC,-22.480979,-47.592293
Empidonomus varius,1.207015651,-0.380845065,-0.029342254,-0.906727077,-0.644719353,-0.371698094,-0.801546785,Tyrannidae,17.5,10.5,6.3,5.5,15.3,96.8,23.5,24.2,80.6,27.1,Woodland,Omnivore,Invertivore,Insessorial,NA,NA,2.260097169,-1.468415046,LC,1192,1.42E+13,-57.0640768,-11.10286541,Neotropical,16,5.476035216,0.189635349,n10_Athie_RC,-22.480979,-47.592293
Euphonia chlorotica,1.570232404,-0.058707169,-0.059035611,-0.906727077,-0.644719353,-0.82083329,-0.98825111,Fringillidae,9.2,5.9,4.1,4,12.9,56.7,13.7,24.2,32.9,11,Forest,Herbivore,Frugivore,Insessorial,NA,6.3,1.716173853,-1.358654593,LC,926,1.10E+13,-54.00661725,-15.10680309,Neotropical,22,5.352213958,0.221880478,n10_Athie_RC,-22.480979,-47.592293
Icterus cayanensis,0.731538743,-0.194923303,-0.138079177,-0.461047666,-0.412890317,-0.221986361,-0.5747756,Icteridae,23.2,14.4,4.3,5.8,23.2,98.6,15.3,15.6,97.4,35.4,Forest,Carnivore,Invertivore,Insessorial,20.7,NA,1.765443908,-1.899044807,LC,600,7.33E+12,-62.85669991,-3.304486724,Neotropical,12,2.714454971,0.396474909,n10_Athie_RC,-22.480979,-47.592293
Myiarchus ferox,0.343380105,-0.36973034,0.07556624,-0.461047666,-0.534073677,0.077437103,-0.204350734,Tyrannidae,21.7,14.4,7.7,5.8,21.8,85.8,12.2,14.2,86.9,27.5,Forest,Omnivore,Invertivore,Insessorial,11.6,10.3,1.964708341,-1.561983123,LC,1071,1.29E+13,-57.07586343,-8.811168682,Neotropical,13,3.61782559,0.336639791,n10_Athie_RC,-22.480979,-47.592293
Myiodynastes maculatus,0.343380105,-0.36973034,0.07556624,-0.461047666,-0.534073677,0.077437103,-0.204350734,Tyrannidae,25.6,18.4,10.5,8.4,19.5,107.9,21.8,20.3,79,43.2,Forest,Carnivore,Invertivore,Insessorial,14.3,NA,2.64337431,-1.447844913,LC,1407,1.67E+13,-60.40532935,-9.459310712,Neotropical,34,5.006093423,0.226547095,n10_Athie_RC,-22.480979,-47.592293
Myiozetetes similis,-1.780485564,-0.183162466,0.071921322,0.875990566,0.631449458,1.125419228,1.083938236,Tyrannidae,17.4,9.7,5.5,4.9,19.6,87,14.5,16.4,69.1,28,Shrubland,Carnivore,Invertivore,Insessorial,9.8,NA,1.992676194,-1.575288762,LC,1055,1.27E+13,-63.60345243,-3.434561621,Neotropical,22,6.726388542,0.160909056,n10_Athie_RC,-22.480979,-47.592293
Nemosia pileata,0.27035187,0.127594902,-0.114948735,-0.015368256,-0.569259945,-0.221986361,-0.230368567,Thraupidae,13.9,9,4.3,5.2,17.2,68.4,13.8,20.2,47.4,16,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.043319988,-1.4649201,LC,843,1.01E+13,-54.45394997,-11.54325112,Neotropical,12,7.73808493,0.139655089,n10_Athie_RC,-22.480979,-47.592293
Patagioenas picazuro,1.570232404,-0.058707169,-0.059035611,-0.906727077,-0.644719353,-0.82083329,-0.98825111,Columbidae,25.3,14.6,4.8,6.7,30.3,218.2,81.9,37.6,131.8,279,Forest,Herbivore,Omnivore,Generalist,NA,NA,0.831943087,-0.869235205,LC,610,6.89E+12,-53.89180655,-22.87724575,Neotropical,11,4.226862619,0.268437758,n10_Athie_RC,-22.480979,-47.592293
Pitangus sulphuratus,0.238697282,-0.622100424,-0.087133707,-0.461047666,-0.127214876,0.376860567,-0.31143021,Tyrannidae,29.3,21.1,10.1,9.1,25.8,111.9,20.6,18.1,84.8,62.9,Human Modified,Carnivore,Omnivore,Insessorial,13,NA,2.927218273,-1.297309143,LC,1586,1.86E+13,-58.61943603,-13.74168914,Neotropical,42,11.13291682,0.092928216,n10_Athie_RC,-22.480979,-47.592293
Ramphocelus carbo,-2.823506134,0.213871842,-0.023323769,1.767349387,2.595974733,1.424842692,1.692563588,Thraupidae,18.3,11.8,7.4,7.9,21.6,78.1,12.4,15.8,79.9,25.9,Human Modified,Omnivore,Omnivore,Insessorial,11.8,9.6,1.86514782,-1.634263073,LC,948,1.15E+13,-58.45708677,-7.118354468,Neotropical,22,1.433081146,0.73810248,n10_Athie_RC,-22.480979,-47.592293
Satrapa icterophrys,1.570232404,-0.058707169,-0.059035611,-0.906727077,-0.644719353,-0.82083329,-0.98825111,Tyrannidae,16.8,10.8,4.2,4,18.8,86.6,19.6,22.6,68.7,21.5,Shrubland,Carnivore,Invertivore,Insessorial,NA,NA,1.14878674,-1.130243366,LC,782,9.08E+12,-54.70481155,-18.92727386,Neotropical,3,10.31811477,0.107954318,n10_Athie_RC,-22.480979,-47.592293
Tachyphonus coronatus,-1.391311034,0.272379413,0.15860512,0.875990566,-0.192425346,0.526572299,0.995215889,Thraupidae,18.5,12.1,6.3,7.4,21.5,83.9,14.5,17.3,76.8,29.3,Forest,Omnivore,Invertivore,Insessorial,NA,NA,0.14720439,-1.067621808,LC,151,1.71E+12,-50.17435153,-23.23710584,Neotropical,24,5.18838644,0.202874472,n10_Athie_RC,-22.480979,-47.592293
